Held,Kategorie,Talent,Eigenschaft 1,Eigenschaft 2,Eigenschaft 3,Modifikator,Erfolg,TaP/ZfP,TaW/ZfW,Eigenschaftswert 1,Eigenschaftswert 2,Eigenschaftswert 3
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,0,1,4,8,14,15,15
Elanor Walham,Handwerk,Heilkunde Gift,MU,KL,IN,0,0,-12,0,12,12,14
Elanor Walham,Handwerk,Heilkunde Gift,MU,KL,IN,0,0,-1,0,12,12,14
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,7,7,12,11,13
Hanzo Shimada,Wissen,Geographie,KL,KL,IN,0,0,-10,4,13,13,12
Hanzo Shimada,Wissen,Tierkunde,MU,KL,IN,0,1,5,5,13,13,12
Elanor Walham,Wissen,Tierkunde,MU,KL,IN,0,0,-8,2,12,12,14
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,9,13,12,12
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,7,12,14,14
Walpurga Hausmännin,Natur,Wildnisleben,IN,GE,KO,0,0,-3,3,12,11,13
Elanor Walham,Natur,Wildnisleben,IN,GE,KO,0,0,-2,3,14,16,12
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,9,13,12,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,6,6,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,6,6,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,5,1,1,6,14,15,15
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-4,4,13,12,12
Hanzo Shimada,Körper,Athletik,GE,KO,KK,0,0,-7,2,13,12,12
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,6,0,-3,8,14,15,15
Walpurga Hausmännin,Wissen,Tierkunde,MU,KL,IN,0,1,0,5,13,13,12
Hanzo Shimada,Wissen,Tierkunde,MU,KL,IN,3,0,-2,5,13,14,15
