Character,Kategorie,Talent,Modifikator,Erfolg,TaP/ZfP,TaW/ZfW
Elanor Walham,Kampfprobe,Fernkampfangriff,1,1,1,21
Hanzo Shimada,Kampfprobe,Fernkampfangriff,1,1,13,21
Hanzo Shimada,Kampfprobe,Fernkampfangriff,1,1,0,21
Elanor Walham,Kampfprobe,Fernkampfangriff,0,0,-12,0
Hanzo Shimada,Kampfprobe,Nahkampfangriff,0,0,-14,0
Elanor Walham,Kampfprobe,Nahkampfangriff,0,0,-10,0
Elanor Walham,Kampfprobe,Fernkampfangriff,0,0,-14,0
Elanor Walham,Kampfprobe,Fernkampfangriff,-2,1,22,22
Hanzo Shimada,Kampfprobe,Nahkampfangriff,0,1,12,14
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,14,17
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,6,17
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,1,7,17
Hanzo Shimada,Kampfprobe,Ausweichen,0,0,-7,8
Bargaan Treuwall,Kampfprobe,Nahkampfangriff,0,0,-1,16
Walpurga Hausmännin,Kampfprobe,Ausweichen,0,1,4,7
Bargaan Treuwall,Kampfprobe,Nahkampfparade,0,0,-10,10
Hanzo Shimada,Kampfprobe,Nahkampfangriff,0,1,9,14
Elanor Walham,Kampfprobe,Nahkampfangriff,0,1,2,17
Hanzo Shimada,Kampfprobe,Finte o. SF,2,1,9,14
Elanor Walham,Kampfprobe,Ausweichen,-3,1,4,8
Elanor Walham,Kampfprobe,Nahkampfparade,0,1,5,12
Elanor Walham,Kampfprobe,Ausweichen,-3,0,-9,8
Elanor Walham,Kampfprobe,Nahkampfparade,0,1,3,12
Elanor Walham,Kampfprobe,Ausweichen,-3,1,10,8
Elanor Walham,Kampfprobe,Ausweichen,-3,0,-9,8
Elanor Walham,Kampfprobe,Gezieltes Ausweichen,-3,0,-5,8
Elanor Walham,Kampfprobe,Ausweichen,-3,0,-8,8
Elanor Walham,Kampfprobe,Nahkampfangriff,0,1,12,17
Elanor Walham,Kampfprobe,Nahkampfparade,0,0,-1,12
Elanor Walham,Kampfprobe,Gezieltes Ausweichen,-3,1,2,8
Elanor Walham,Kampfprobe,Gezieltes Ausweichen,-3,1,4,8
Elanor Walham,Kampfprobe,Gezieltes Ausweichen,-6,1,13,8
Elanor Walham,Kampfprobe,Nahkampfangriff,0,1,7,17
Elanor Walham,Kampfprobe,Ausweichen,-4,0,-8,8
Elanor Walham,Kampfprobe,Gezieltes Ausweichen,-3,1,2,8
Elanor Walham,Kampfprobe,Gezieltes Ausweichen,-4,1,11,8
Hanzo Shimada,Kampfprobe,Fernkampfangriff,-1,1,0,19
Elanor Walham,Kampfprobe,Ausweichen,-4,0,-1,8
Hanzo Shimada,Kampfprobe,Fernkampfangriff,-1,1,2,19
Elanor Walham,Kampfprobe,Nahkampfangriff,0,1,15,17
Elanor Walham,Kampfprobe,Gezieltes Ausweichen,-4,1,0,8
Elanor Walham,Kampfprobe,Gezieltes Ausweichen,-4,0,-3,8
Elanor Walham,Kampfprobe,Ausweichen,-4,1,8,8
Elanor Walham,Kampfprobe,Nahkampfangriff,0,1,6,17
Elanor Walham,Kampfprobe,Ausweichen,-4,1,0,8
Elanor Walham,Kampfprobe,Nahkampfangriff,0,1,16,17
