Character,Category,Talent,Modifikator,TaP/ZfP,TaW/ZfW
Hanzo Shimada,Initiative,Initiative,0,15,11
Hanzo Shimada,Initiative,Initiative,0,13,11
Walpurga Hausmännin,Initiative,Initiative,0,13,10
Hanzo Shimada,Initiative,Initiative,0,15,11
Hanzo Shimada,Initiative,Initiative,0,16,11
Hanzo Shimada,Initiative,Initiative,0,13,11
Hanzo Shimada,Initiative,Initiative,0,15,11
Hanzo Shimada,Initiative,Initiative,0,14,11
Hanzo Shimada,Initiative,Initiative,0,10,9
Walpurga Hausmännin,Initiative,Initiative,0,14,10
Akira Masamune,Initiative,Initiative,0,12,11
Akira Masamune,Initiative,Initiative,0,10,11
Hanzo Shimada,Initiative,Initiative,10,26,11
Hanzo Shimada,Initiative,Initiative,0,13,11
Hanzo Shimada,Initiative,Initiative,0,13,11
Hanzo Shimada,Initiative,Initiative,0,14,11
Akira Masamune,Initiative,Initiative,0,12,11
Akira Masamune,Initiative,Initiative,0,9,9
Hanzo Shimada,Initiative,Initiative,-2,13,11
Akira Masamune,Initiative,Initiative,0,15,11
Hanzo Shimada,Initiative,Initiative,0,13,11
Akira Masamune,Initiative,Initiative,0,12,11
Hanzo Shimada,Initiative,Initiative,0,13,11
Hanzo Shimada,Initiative,Initiative,0,14,11
Hanzo Shimada,Initiative,Initiative,0,16,11
Hanzo Shimada,Initiative,Initiative,0,11,11
Akira Masamune,Initiative,Initiative,0,15,11
Akira Masamune,Initiative,Initiative,0,11,11
Hanzo Shimada,Initiative,Initiative,0,11,11
Akira Masamune,Initiative,Initiative,0,12,11
Hanzo Shimada,Initiative,Initiative,0,11,11
Akira Masamune,Initiative,Initiative,0,11,11
Hanzo Shimada,Initiative,Initiative,0,12,11
Hanzo Shimada,Initiative,Initiative,0,11,10
Hanzo Shimada,Initiative,Initiative,0,14,11
Hanzo Shimada,Initiative,Initiative,2,18,11
Hanzo Shimada,Initiative,Initiative,-2,11,11
Akira Masamune,Initiative,Initiative,0,14,11
Hanzo Shimada,Initiative,Initiative,0,14,11
Akira Masamune,Initiative,Initiative,0,13,11
Walpurga Hausmännin,Initiative,Initiative,0,16,10
Elanor Walham,Initiative,Initiative,0,19,19
Elanor Walham,Initiative,Initiative,0,20,15
Akira Masamune,Initiative,Initiative,0,10,11
Hanzo Shimada,Initiative,Initiative,0,15,11
Akira Masamune,Initiative,Initiative,0,13,11
Elanor Walham,Initiative,Initiative,0,18,15
Walpurga Hausmännin,Initiative,Initiative,0,12,10
Hanzo Shimada,Initiative,Initiative,0,15,11
Walpurga Hausmännin,Initiative,Initiative,0,14,10
Akira Masamune,Initiative,Initiative,0,13,11
Elanor Walham,Initiative,Initiative,0,19,15
Hanzo Shimada,Initiative,Initiative,0,13,11
Elanor Walham,Initiative,Initiative,0,19,15
Elanor Walham,Initiative,Initiative,0,17,15
Hanzo Shimada,Initiative,Initiative,0,14,12
Akira Masamune,Initiative,Initiative,0,15,11
Akira Masamune,Initiative,Initiative,0,15,11
Hanzo Shimada,Initiative,Initiative,0,12,12
Hanzo Shimada,Initiative,Initiative,0,14,12
Hanzo Shimada,Initiative,Initiative,0,12,12
Akira Masamune,Initiative,Initiative,0,16,11
